"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1990266","BP","GO:1990266","neutrophil migration","15/94","122/18723",4.03866596617314e-17,7.62523386321449e-14,6.00305894583007e-14,"S100A8/ITGB2/FCER1G/CCL18/CCL8/CXCL10/TREM1/CXCL11/CXCL9/CXCL5/CCL4/C5AR1/SLAMF8/DAPK2/CCL20",15
"GO:0050900","BP","GO:0050900","leukocyte migration","21/94","369/18723",1.12192204933966e-16,7.62523386321449e-14,6.00305894583007e-14,"S100A8/ITGB2/FCER1G/MSN/CCL18/CCL8/CXCL10/TREM1/CXCL11/CXCL9/CXCL5/CCL4/C5AR1/MMP9/SLAMF8/TREM2/DAPK2/CCL20/TRPM4/SMPD3/TNFRSF11A",21
"GO:0030593","BP","GO:0030593","neutrophil chemotaxis","14/94","103/18723",1.13078109686819e-16,7.62523386321449e-14,6.00305894583007e-14,"S100A8/ITGB2/FCER1G/CCL18/CCL8/CXCL10/TREM1/CXCL11/CXCL9/CXCL5/CCL4/C5AR1/DAPK2/CCL20",14
"GO:0097530","BP","GO:0097530","granulocyte migration","15/94","148/18723",7.77363848478873e-16,3.192902127839e-13,2.51365138768395e-13,"S100A8/ITGB2/FCER1G/CCL18/CCL8/CXCL10/TREM1/CXCL11/CXCL9/CXCL5/CCL4/C5AR1/SLAMF8/DAPK2/CCL20",15
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","17/94","220/18723",7.89150303469846e-16,3.192902127839e-13,2.51365138768395e-13,"S100A8/ITGB2/FCER1G/CCL18/CCL8/CXCL10/TREM1/CXCL11/CXCL9/CXCL5/CCL4/C5AR1/SLAMF8/TREM2/DAPK2/CCL20/TNFRSF11A",17
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis","17/94","230/18723",1.66177887840194e-15,5.32615234534959e-13,4.19307880350388e-13,"S100A8/ITGB2/FCER1G/CCL18/CCL8/CXCL10/TREM1/CXCL11/CXCL9/CXCL5/CCL4/C5AR1/SLAMF8/DAPK2/CCL20/TRPM4/TNFRSF11A",17
"GO:0071621","BP","GO:0071621","granulocyte chemotaxis","14/94","125/18723",1.8429592890483e-15,5.32615234534959e-13,4.19307880350388e-13,"S100A8/ITGB2/FCER1G/CCL18/CCL8/CXCL10/TREM1/CXCL11/CXCL9/CXCL5/CCL4/C5AR1/DAPK2/CCL20",14
"GO:0060326","BP","GO:0060326","cell chemotaxis","17/94","310/18723",2.27445719398771e-13,5.75153362929642e-11,4.52796544013605e-11,"S100A8/ITGB2/FCER1G/CCL18/CCL8/CXCL10/TREM1/CXCL11/CXCL9/CXCL5/CCL4/C5AR1/SLAMF8/DAPK2/CCL20/TRPM4/TNFRSF11A",17
"GO:0002764","BP","GO:0002764","immune response-regulating signaling pathway","17/94","468/18723",1.56005780431286e-10,3.50666326458324e-08,2.76066369347995e-08,"MNDA/TYROBP/LY96/FCER1G/LAPTM5/HLA-DPB1/GBP1/LCP2/FCGR2B/FPR3/C5AR1/RSAD2/TREM2/FPR1/BTNL8/LIME1/SMPDL3B",17
"GO:0002495","BP","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","7/94","34/18723",3.08592661761109e-10,6.24282954742724e-08,4.91474418152166e-08,"FCER1G/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/TREM2/HLA-DQA1",7
"GO:0002504","BP","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","7/94","36/18723",4.74965206543283e-10,8.73504193488237e-08,6.87676897129174e-08,"FCER1G/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/TREM2/HLA-DQA1",7
"GO:0070098","BP","GO:0070098","chemokine-mediated signaling pathway","9/94","88/18723",5.65403752167925e-10,9.53176492196427e-08,7.50399892131641e-08,"CCL18/CCL8/CXCL10/CXCL11/CXCL9/CXCL5/CCL4/TREM2/CCL20",9
"GO:1990868","BP","GO:1990868","response to chemokine","9/94","97/18723",1.36305651257592e-09,1.96961666067221e-07,1.5506048898702e-07,"CCL18/CCL8/CXCL10/CXCL11/CXCL9/CXCL5/CCL4/TREM2/CCL20",9
"GO:1990869","BP","GO:1990869","cellular response to chemokine","9/94","97/18723",1.36305651257592e-09,1.96961666067221e-07,1.5506048898702e-07,"CCL18/CCL8/CXCL10/CXCL11/CXCL9/CXCL5/CCL4/TREM2/CCL20",9
"GO:0002429","BP","GO:0002429","immune response-activating cell surface receptor signaling pathway","13/94","291/18723",2.3124944009245e-09,2.92386010816892e-07,2.30184475565708e-07,"MNDA/TYROBP/FCER1G/LAPTM5/HLA-DPB1/GBP1/LCP2/FCGR2B/FPR3/C5AR1/FPR1/BTNL8/LIME1",13
"GO:0002757","BP","GO:0002757","immune response-activating signal transduction","13/94","291/18723",2.3124944009245e-09,2.92386010816892e-07,2.30184475565708e-07,"MNDA/TYROBP/FCER1G/LAPTM5/HLA-DPB1/GBP1/LCP2/FCGR2B/FPR3/C5AR1/FPR1/BTNL8/LIME1",13
