"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05150","hsa05150","Staphylococcus aureus infection","10/69","96/8190",5.84591314449761e-09,8.00890100796173e-07,6.03052092800806e-07,"ITGB2/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/FPR3/C5AR1/FCGR3B/HLA-DQA1/FPR1",10
"hsa05323","hsa05323","Rheumatoid arthritis","9/69","93/8190",6.86394941832247e-08,4.70180535155089e-06,3.54035285787159e-06,"ITGB2/HLA-DPB1/HLA-DRA/HLA-DPA1/CXCL5/CD86/HLA-DQA1/CCL20/TNFRSF11A",9
"hsa04940","hsa04940","Type I diabetes mellitus","6/69","43/8190",1.36750071151398e-06,5.77367765191198e-05,4.34744840482039e-05,"HLA-DPB1/HLA-DRA/HLA-DPA1/CD86/HLA-DQA1/ICA1",6
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor","8/69","100/8190",1.68574529982831e-06,5.77367765191198e-05,4.34744840482039e-05,"CCL18/CCL8/CXCL10/CXCL11/CXCL9/CXCL5/CCL4/CCL20",8
"hsa05140","hsa05140","Leishmaniasis","7/69","77/8190",3.32974283370624e-06,9.1234953643551e-05,6.86978521480445e-05,"NCF2/ITGB2/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR3B/HLA-DQA1",7
"hsa04145","hsa04145","Phagosome","9/69","152/8190",4.51888862552e-06,0.000102826973895676,7.74263806513737e-05,"NCF2/ITGB2/HLA-DPB1/HLA-DRA/HLA-DPA1/MARCO/FCGR2B/FCGR3B/HLA-DQA1",9
"hsa05310","hsa05310","Asthma","5/69","31/8190",5.25393297277179e-06,0.000102826973895676,7.74263806513737e-05,"FCER1G/HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",5
"hsa05416","hsa05416","Viral myocarditis","6/69","60/8190",1.00364327619699e-05,0.000171873911048735,0.000129417159299086,"ITGB2/HLA-DPB1/HLA-DRA/HLA-DPA1/CD86/HLA-DQA1",6
"hsa05330","hsa05330","Allograft rejection","5/69","38/8190",1.48283670649812e-05,0.000225720698655825,0.000169962569867621,"HLA-DPB1/HLA-DRA/HLA-DPA1/CD86/HLA-DQA1",5
"hsa05332","hsa05332","Graft-versus-host disease","5/69","42/8190",2.44837626163465e-05,0.000335427547843948,0.000252569340673891,"HLA-DPB1/HLA-DRA/HLA-DPA1/CD86/HLA-DQA1",5
"hsa04672","hsa04672","Intestinal immune network for IgA production","5/69","49/8190",5.2437232338482e-05,0.000653081893670185,0.000491755863078588,"HLA-DPB1/HLA-DRA/HLA-DPA1/CD86/HLA-DQA1",5
"hsa05320","hsa05320","Autoimmune thyroid disease","5/69","53/8190",7.6884719373036e-05,0.000877767212842161,0.000660938815662942,"HLA-DPB1/HLA-DRA/HLA-DPA1/CD86/HLA-DQA1",5
"hsa04380","hsa04380","Osteoclast differentiation","7/69","128/8190",9.32461396605445e-05,0.000982670856422661,0.000739928881516871,"NCF2/TYROBP/LCP2/FCGR2B/FCGR3B/TREM2/TNFRSF11A",7
"hsa05152","hsa05152","Tuberculosis","8/69","180/8190",0.000124066314290225,0.00119109920244366,0.000896870701801607,"ITGB2/FCER1G/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/FCGR3B/HLA-DQA1",8
"hsa04657","hsa04657","IL-17 signaling pathway","6/69","94/8190",0.000130412321435438,0.00119109920244366,0.000896870701801607,"S100A8/CXCL10/CXCL5/MMP9/CCL20/TRAF4",6
"hsa04062","hsa04062","Chemokine signaling pathway","8/69","192/8190",0.000193855223884197,0.00165988535450843,0.00124985604872706,"CCL18/CCL8/CXCL10/CXCL11/CXCL9/CXCL5/CCL4/CCL20",8
"hsa04620","hsa04620","Toll-like receptor signaling pathway","6/69","104/8190",0.000227528631091202,0.00183361308585263,0.00138066909268965,"LY96/CXCL10/CXCL11/CXCL9/CCL4/CD86",6
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","9/69","295/8190",0.000765468250439611,0.00582606390612371,0.00438689406684689,"CCL18/CCL8/CXCL10/CXCL11/CXCL9/CXCL5/CCL4/CCL20/TNFRSF11A",9
"hsa05322","hsa05322","Systemic lupus erythematosus","6/69","136/8190",0.000954454095936506,0.00688211637596322,0.00518207763998768,"HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR3B/CD86/HLA-DQA1",6
"hsa04613","hsa04613","Neutrophil extracellular trap formation","7/69","190/8190",0.00103647234657239,0.0070998355740209,0.00534601526126814,"NCF2/ITGB2/AQP9/FPR3/C5AR1/FCGR3B/FPR1",7
"hsa04514","hsa04514","Cell adhesion molecules","6/69","157/8190",0.00199769289936406,0.0130325679625179,0.00981322827757782,"ITGB2/HLA-DPB1/HLA-DRA/HLA-DPA1/CD86/HLA-DQA1",6
"hsa05321","hsa05321","Inflammatory bowel disease","4/69","65/8190",0.00212245211951106,0.0132170881987734,0.00995216783311407,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"hsa05145","hsa05145","Toxoplasmosis","5/69","112/8190",0.00245102916845974,0.0144601459251419,0.0108881621257311,"LY96/HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",5
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","7/69","222/8190",0.00253316424965989,0.0144601459251419,0.0108881621257311,"ITGB2/HLA-DPB1/HLA-DRA/HLA-DPA1/EGR2/HLA-DQA1/CCND2",7
