"Dateset","Metric","Value","Model"
"TCGA(COAD)","Accuracy",0.70704845814978,"Modified CMS model"
"TCGA(READ)","Accuracy",0.518072289156627,"Modified CMS model"
"GSE14333","Accuracy",0.793103448275862,"Modified CMS model"
"GSE143985","Accuracy",0.549450549450549,"Modified CMS model"
"GSE161158","Accuracy",0.772,"Modified CMS model"
"GSE17536","Accuracy",0.76271186440678,"Modified CMS model"
"GSE38832","Accuracy",0.80327868852459,"Modified CMS model"
"GSE87211","Accuracy",0.541871921182266,"Modified CMS model"
"GSE17537","Accuracy",0.854545454545454,"Modified CMS model"
"GSE39582","Accuracy",0.745299145299145,"Modified CMS model"
"GSE171680","Accuracy",0.517241379310345,"Modified CMS model"
"TCGA(COAD)","Sensitivity",0.620224089635854,"Modified CMS model"
"TCGA(READ)","Sensitivity",0.461550127713921,"Modified CMS model"
"GSE14333","Sensitivity",0.703729468599034,"Modified CMS model"
"GSE143985","Sensitivity",0.564748155070736,"Modified CMS model"
"GSE161158","Sensitivity",0.703797767290026,"Modified CMS model"
"GSE17536","Sensitivity",0.654187199408065,"Modified CMS model"
"GSE38832","Sensitivity",0.719996031746032,"Modified CMS model"
"GSE87211","Sensitivity",0.498464912280702,"Modified CMS model"
"GSE17537","Sensitivity",0.742483660130719,"Modified CMS model"
"GSE39582","Sensitivity",0.683449339610341,"Modified CMS model"
"GSE171680","Sensitivity",0.415,"Modified CMS model"
"TCGA(COAD)","Specificity",0.923836014184546,"Modified CMS model"
"TCGA(READ)","Specificity",0.875385196021976,"Modified CMS model"
"GSE14333","Specificity",0.945828808446456,"Modified CMS model"
"GSE143985","Specificity",0.885204650422042,"Modified CMS model"
"GSE161158","Specificity",0.938911080803025,"Modified CMS model"
"GSE17536","Specificity",0.935210241425376,"Modified CMS model"
"GSE38832","Specificity",0.948982942443661,"Modified CMS model"
"GSE87211","Specificity",0.887993968087686,"Modified CMS model"
"GSE17537","Specificity",0.962954403197073,"Modified CMS model"
"GSE39582","Specificity",0.932950095144825,"Modified CMS model"
"GSE171680","Specificity",0.851172707889126,"Modified CMS model"
"TCGA(COAD)","Precision",0.722394730842791,"Modified CMS model"
"TCGA(READ)","Precision",0.721903255749991,"Modified CMS model"
"GSE14333","Precision",0.790063971081095,"Modified CMS model"
"GSE143985","Precision",0.657107843137255,"Modified CMS model"
"GSE161158","Precision",0.799978112215622,"Modified CMS model"
"GSE17536","Precision",0.780375906343399,"Modified CMS model"
"GSE38832","Precision",0.803902243589744,"Modified CMS model"
"GSE87211","Precision",0.744652945924132,"Modified CMS model"
"GSE17537","Precision",0.85546218487395,"Modified CMS model"
"GSE39582","Precision",0.777681886379819,"Modified CMS model"
"GSE171680","Precision",0.751600512163892,"Modified CMS model"
"TCGA(COAD)","Recall",0.620224089635854,"Modified CMS model"
"TCGA(READ)","Recall",0.461550127713921,"Modified CMS model"
"GSE14333","Recall",0.703729468599034,"Modified CMS model"
"GSE143985","Recall",0.564748155070736,"Modified CMS model"
"GSE161158","Recall",0.703797767290026,"Modified CMS model"
"GSE17536","Recall",0.654187199408065,"Modified CMS model"
"GSE38832","Recall",0.719996031746032,"Modified CMS model"
"GSE87211","Recall",0.498464912280702,"Modified CMS model"
"GSE17537","Recall",0.742483660130719,"Modified CMS model"
"GSE39582","Recall",0.683449339610341,"Modified CMS model"
"GSE171680","Recall",0.415,"Modified CMS model"
"TCGA(COAD)","F1",0.723875510861506,"Modified CMS model"
"TCGA(READ)","F1",0.536852154036723,"Modified CMS model"
"GSE14333","F1",0.831730562868241,"Modified CMS model"
"GSE143985","F1",0.619903992506732,"Modified CMS model"
"GSE161158","F1",0.830485659606121,"Modified CMS model"
"GSE17536","F1",0.791461627221142,"Modified CMS model"
"GSE38832","F1",0.844710534398034,"Modified CMS model"
"GSE87211","F1",0.573813936249073,"Modified CMS model"
