,counts,MeSH,,,,CCL20,CCL4,CCL18,CCL8,CXCL10,CXCL11,CXCL5,CXCL9,DAPK2,S100A8
1,7,(CCL20) AND (B cells naive),,,B cells naive,7,4,3,1,16,1,1,10,0,1
2,6,(CCL20) AND (B cells memory),,,B cells memory,6,3,1,1,22,3,2,10,0,2
3,58,(CCL20) AND (Plasma cells),,,Plasma cells,58,160,15,11,257,41,37,83,8,63
4,76,(CCL20) AND (T cells CD8),,,T cells CD8,76,154,12,19,504,82,40,324,4,23
5,17,(CCL20) AND (T cells CD4 naive),,,T cells CD4 naive,17,12,1,1,41,5,1,13,0,7
6,2,(CCL20) AND (T cells CD4 memory resting),,,T cells CD4 memory resting,2,0,0,0,8,2,0,2,0,1
7,17,(CCL20) AND (T cells CD4 memory activated),,,T cells CD4 memory activated,17,12,0,0,32,5,4,13,0,1
8,9,(CCL20) AND (T cells follicular helper),,,T cells follicular helper,9,2,0,0,16,1,1,12,0,0
9,31,(CCL20) AND (T cells regulatory(Tregs)),,,T cells regulatory(Tregs),31,25,8,2,30,6,4,16,0,4
10,16,(CCL20) AND (T cells gamma delta),,,T cells gamma delta,16,13,0,2,16,4,2,8,0,2
11,1,(CCL20) AND (NK cells resting),,,NK cells resting,1,3,0,2,9,1,1,3,0,1
12,18,(CCL20) AND (NK cells activated),,,NK cells activated,18,91,7,7,179,36,12,93,3,21
13,154,(CCL20) AND (Monocytes),,,Monocytes,154,360,90,95,677,71,111,177,5,186
14,6,(CCL20) AND (Macrophages M0),,,Macrophages M0,6,4,6,3,20,4,7,6,0,2
15,21,(CCL20) AND (Macrophages M1),,,Macrophages M1,21,71,35,12,148,29,12,72,0,18
16,26,(CCL20) AND (Macrophages M2),,,Macrophages M2,26,60,86,15,136,25,25,55,2,16
17,3,(CCL20) AND (Dendritic cells resting),,,Dendritic cells resting,3,3,1,1,6,1,1,1,0,1
18,101,(CCL20) AND (Dendritic cells activated),,,Dendritic cells activated,101,62,23,15,230,25,14,101,6,31
