"entrizID","symbol","TCGA(COAD)","TCGA(READ)","GSE14333","GSE143985","GSE161158","GSE17536","GSE38832","GSE87211","GSE17537","GSE39582","GSE171680"
"7130","TNFAIP6",10,5,8,7,1,3,10,2,5,5,7
"6362","CCL18",2,2,16,15,3,4,5,19,8,3,1
"6355","CCL8",7,3,21,24,6,8,11,14,10,12,6
"3627","CXCL10",19,21,28,5,13,14,17,38,18,11,15
"54210","TREM1",8,13,9,90,12,23,6,4,17,22,39
"4688","NCF2",28,42,17,59,7,7,18,27,14,9,46
"597","BCL2A1",37,45,19,16,2,5,15,62,4,8,62
"366","AQP9",5,6,5,94,26,52,8,5,34,31,13
"4283","CXCL9",14,44,27,13,19,29,13,82,13,13,14
"6373","CXCL11",54,65,30,8,14,9,19,25,24,16,30
"4332","MNDA",53,29,44,42,11,30,32,16,9,14,53
"8685","MARCO",1,1,11,106,33,43,7,8,31,102,26
"6374","CXCL5",66,18,46,11,123,28,9,17,3,7,47
"10964","IFI44L",15,96,13,31,10,12,30,34,37,25,87
"2213","FCGR2B",18,23,65,50,21,26,23,115,30,17,3
"2359","FPR3",23,26,32,32,47,25,38,55,26,28,81
"6351","CCL4",64,94,40,23,24,31,41,21,23,29,28
"1116","CHI3L1",60,58,51,48,8,49,47,20,15,19,43
"728","C5AR1",45,30,35,127,5,10,20,12,6,21,128
"4318","MMP9",30,12,107,9,37,58,51,41,11,26,91
"1959","EGR2",41,47,45,21,50,41,83,30,76,36,23
"2215","FCGR3B",40,20,4,43,9,2,3,296,1,1,77
"942","CD86",46,53,37,49,110,32,43,44,25,27,42
"56833","SLAMF8",29,37,25,70,78,17,50,73,84,15,31
"91543","RSAD2",51,52,61,46,18,22,67,49,82,45,50
"51363","CHST15",55,50,53,28,41,40,57,77,33,23,111
"3117","HLA-DQA1",31,55,3,293,45,1,4,132,2,2,2
"54209","TREM2",16,7,20,109,67,71,16,56,108,82,21
"2357","FPR1",25,16,68,56,184,75,34,7,40,38,36
"3620","IDO1",39,95,66,20,34,48,74,70,39,47,68
